Data,Lon,Lat,deepth,Location,Time
3.6,104.78,28.43,8,四川宜宾市珙县,06/21T15:09:55
3,104.76,29.61,9,四川内江市资中县,06/21T12:03:51
3.1,104.8,28.41,8,四川宜宾市珙县,06/21T10:01:36
3.4,104.81,28.43,10,四川宜宾市长宁县,06/21T06:56:49
3,104.8,28.43,16,四川宜宾市长宁县,06/21T03:28:55
3.7,104.75,28.41,9,四川宜宾市珙县,06/20T22:01:16
3.4,104.75,28.4,15,四川宜宾市珙县,06/20T20:58:45
3.1,104.76,28.41,14,四川宜宾市珙县,06/20T14:28:58
3.2,104.76,28.41,5,四川宜宾市珙县,06/20T13:17:12
3.1,104.84,28.39,7,四川宜宾市长宁县,06/20T10:55:52
3,104.76,28.42,9,四川宜宾市珙县,06/20T03:55:31
3.4,104.77,28.41,8,四川宜宾市珙县,06/20T01:44:31
3,104.89,28.38,8,四川宜宾市长宁县,06/19T04:39:14
3,104.81,28.39,8,四川宜宾市珙县,06/19T03:25:29
3,104.82,28.4,10,四川宜宾市珙县,06/19T03:02:43
3.3,104.85,28.39,10,四川宜宾市长宁县,06/18T18:53:58
3.7,104.75,28.43,10,四川宜宾市长宁县,06/18T14:38:35
3.1,104.88,28.36,11,四川宜宾市长宁县,06/18T08:39:54
3.7,104.8,28.39,10,四川宜宾市珙县,06/18T08:14:52
5.3,104.89,28.37,17,四川宜宾市长宁县,06/18T07:34:33
3.8,104.81,28.4,11,四川宜宾市珙县,06/18T05:49:14
3.9,104.79,28.41,9,四川宜宾市珙县,06/18T05:04:03
4.5,104.87,28.38,14,四川宜宾市长宁县,06/18T05:03:25
3,104.88,28.36,9,四川宜宾市长宁县,06/18T04:13:54
3.4,104.75,28.41,7,四川宜宾市珙县,06/18T04:11:08
3.1,104.87,28.38,8,四川宜宾市长宁县,06/18T04:04:29
3.1,104.81,28.39,9,四川宜宾市珙县,06/18T02:58:18
3.1,104.8,28.41,10,四川宜宾市珙县,06/18T01:01:24
3.8,104.92,28.39,11,四川宜宾市长宁县,06/18T00:39:11
4.2,104.87,28.39,10,四川宜宾市长宁县,06/18T00:37:55
4.1,104.85,28.39,10,四川宜宾市长宁县,06/18T00:29:07
5.1,104.77,28.43,16,四川宜宾市珙县,06/17T23:36:01
3,104.9,28.4,8,四川宜宾市长宁县,06/17T23:23:31
3.6,104.84,28.39,10,四川宜宾市长宁县,06/17T23:09:01
6,104.9,28.34,16,四川宜宾市长宁县,06/17T22:55:43
3.6,103.75,33.33,7,四川阿坝州九寨沟县,06/16T20:51:13
3,101.22,27.56,17,四川凉山州盐源县,06/04T02:09:04
3,104.41,32.01,17,四川绵阳市北川县,05/18T13:20:01
4.5,103.01,30.43,14,四川雅安市芦山县,05/02T15:57:58
3.3,104.76,28.14,11,四川宜宾市珙县,04/27T01:19:12
3.3,103.35,28.08,19,四川凉山州雷波县,04/24T23:55:25
3.4,105.13,32.33,23,四川广元市青川县,04/16T04:17:43
3.4,101.8,31.97,18,四川阿坝州马尔康市,04/01T11:11:06
3.1,105.42,28.93,10,四川泸州市龙马潭区,03/31T04:08:37
3,104.84,28.2,8,四川宜宾市珙县,03/17T11:46:24
3.3,104.53,29.45,8,四川内江市威远县,03/08T19:14:30
4.9,104.49,29.48,5,四川自贡市荣县,02/25T13:15:59
4.3,104.5,29.46,5,四川自贡市荣县,02/25T08:40:26
4.7,104.49,29.47,5,四川自贡市荣县,02/24T05:38:10
3,105.37,32.6,9,四川广元市青川县,02/23T01:42:58
3.3,104.76,29.57,6,四川内江市威远县,02/12T10:55:21
3.3,104.01,31.63,21,四川德阳市绵竹市,02/10T05:36:01
3.6,102.38,29.04,21,四川雅安市石棉县,02/08T18:00:45
3.3,104.8,29.59,5,四川内江市资中县,02/08T00:29:12
3.1,99.36,28.47,13,四川甘孜州得荣县,01/30T19:07:12
3.2,104.97,32.28,18,四川绵阳市平武县,01/30T09:53:37
3.2,104.49,29.5,5,四川自贡市荣县,01/23T14:40:37
3,105.44,28.91,5,四川泸州市龙马潭区,01/21T21:37:31
3.4,103.2,30.83,21,四川成都市崇州市,01/20T08:35:49
3.4,104.86,28.23,5,四川宜宾市珙县,01/20T00:38:23
3.1,102.68,26.72,8,四川凉山州会东县,01/17T05:08
3.8,102.27,31.77,18,四川阿坝州马尔康市,01/11T17:49:50
3.6,99.38,28.49,21,四川甘孜州得荣县,01/08T08:49:24
3.1,104.46,29.44,4,四川自贡市荣县,01/07T19:13:05
3.1,99.6,30.65,7,四川甘孜州白玉县,01/05T20:37:30
3.2,104.93,28.36,6,四川宜宾市长宁县,01/04T15:59:31
5.3,104.86,28.2,15,四川宜宾市珙县,01/03T08:48:06
