name,站点类型,Lon,Lat,侧项类别,统计时间,更新时间,纬度,经度
宁南葫芦强震台,无人值守,103,27,强震,2020年3月,48:09.0,,
安县地办强震台,无人值守,104,32,强震,2020年3月,48:09.0,,
安县塔水强震台,无人值守,104,31,强震,2020年3月,48:09.0,,
安县花荄强震台,无人值守,105,32,强震,2020年3月,48:09.0,,
宜宾南溪强震台,无人值守,105,29,强震,2020年3月,48:09.0,,
宜宾天池强震台,无人值守,105,29,强震,2020年3月,48:09.0,,
宜宾永兴强震台,无人值守,105,29,强震,2020年3月,48:09.0,,
宜宾观音强震台,无人值守,104,29,强震,2020年3月,48:09.0,,
宜宾长宁强震台,无人值守,105,29,强震,2020年3月,48:09.0,,
宜宾高场强震台,无人值守,104,29,强震,2020年3月,48:09.0,,
宝兴地办强震台,无人值守,103,30,强震,2020年3月,48:09.0,,
宝兴明礼强震台,无人值守,103,30,强震,2020年3月,48:09.0,,
宝兴民治强震台,无人值守,103,30,强震,2020年3月,48:09.0,,
宝兴盐井强震台,无人值守,103,31,强震,2020年3月,48:09.0,,
富顺板桥强震台,无人值守,105,29,强震,2020年3月,48:09.0,,
小金地办强震台,无人值守,102,31,强震,2020年3月,48:10.0,,
小金达维强震台,无人值守,103,31,强震,2020年3月,48:10.0,,
峨眉交大强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
巴塘专业强震台,无人值守,99,30,强震,2020年3月,48:10.0,,
布拖地办强震台,无人值守,103,28,强震,2020年3月,48:10.0,,
布拖拖觉强震台,无人值守,103,28,强震,2020年3月,48:10.0,,
平武南坝强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
平武地办强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
平武平通强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
平武木座强震台,无人值守,105,33,强震,2020年3月,48:10.0,,
广元东溪强震台,无人值守,106,33,强震,2020年3月,48:10.0,,
广元中区强震台,无人值守,106,32,强震,2020年3月,48:10.0,,
广元曾家强震台,无人值守,106,33,强震,2020年3月,48:10.0,,
广元羊木强震台,无人值守,106,32,强震,2020年3月,48:10.0,,
康定专业强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
康定呷巴强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
康定姑咱强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
康定新都强震台,无人值守,101,30,强震,2020年3月,48:10.0,,
德昌农科强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
德昌永郎强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
德阳旌阳强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
德阳白马强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
成都中和强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
攀枝乌龟强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
攀枝仁和强震台,无人值守,102,26,强震,2020年3月,48:10.0,,
攀枝南山强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
攀枝同德强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
攀枝大田强震台,无人值守,102,26,强震,2020年3月,48:10.0,,
攀枝平地强震台,无人值守,102,26,强震,2020年3月,48:10.0,,
攀枝福田强震台,无人值守,101,27,强震,2020年3月,48:10.0,,
攀枝金江强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
攀枝马兰强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
新津梨花强震台,无人值守,104,30,强震,2020年3月,48:10.0,,
昭觉气象强震台,无人值守,103,28,强震,2020年3月,48:10.0,,
昭觉解放强震台,无人值守,103,28,强震,2020年3月,48:10.0,,
普格五道强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
普格地办强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
普格白水强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
普格荞窝强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
普格螺髻强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
木里农机强震台,无人值守,101,28,强震,2020年3月,48:10.0,,
松潘专业强震台,无人值守,104,33,强震,2020年3月,48:10.0,,
